City,Country,latitude,longitude,n_incidents,n_kill
Santo Domingo,Dominican Republic,18.456792,-69.951164,61,100
Mexico city,Mexico,19.371887,-99.086624,120,115
Athens,Greece,37.99749,23.762728,1019,229
Fukouka,Japan,33.580412,130.396361,5,0
Cairo,United States,37.005105,-89.176269,216,180
Montevideo,Uruguay,-34.891151,-56.187214,71,5
Oakland,United States,37.791927,-122.225906,20,1
Madison,United States,43.076592,-89.412488,8,1
Baraboo,United States,43.4685,-89.744299,1,0
Denver,United States,39.758968,-104.876305,23,3
Rome,Italy,41.890961,12.490069,552,170
Detroit,United States,42.331685,-83.047924,15,4
Rio Piedras,United States,18.386932,-66.061127,17,1
Berlin,East Germany (GDR),52.50153,13.401851,160,240
New York City,United States,40.697132,-73.931351,460,2838
Rio Grande,United States,18.379998,-65.830948,2,4
Seattle,United States,47.610786,-122.331306,39,5
Champaign,United States,40.116748,-88.23927,8,0
Jersey City,United States,40.717892,-74.067467,2,1
Guatemala City,Guatemala,14.622869,-90.529068,835,677
Quezon City,Philippines,14.67428,121.057495,64,38
Caracas,Venezuela,10.482834,-66.962128,132,28
South Sioux City,United States,42.47031,-96.413949,7,0
West Point,United States,33.60651,-88.650419,3,1
Norwalk,United States,41.241996,-82.615241,2,0
Coral Gables,United States,25.720851,-80.277857,4,0
Bamban,Philippines,15.675051,120.331618,1,0
Portland,United States,45.511795,-122.675629,22,2
Akron,United States,41.084195,-81.514059,6,0
Dorado,United States,18.460791,-66.264884,3,0
Carolina,United States,18.441963,-66.026316,22,51
Boston,United States,42.3505,-71.105399,19,19
Whitewater,United States,42.838355,-88.743224,1,0
Batavia,United States,39.07859,-84.179414,2,3
Munich,West Germany (FRG),48.139126,11.580186,52,53
Ypsilanti,United States,42.263414,-83.665281,2,0
Berkeley,United States,37.874043,-122.280022,33,2
Eugene,United States,44.04483,-123.072606,12,0
San Francisco,United States,37.755363,-122.443352,111,42
Buckeystown,United States,39.334825,-77.431653,1,0
Covington,United States,30.493919,-90.132512,2,0
Cleveland,United States,41.479561,-81.675461,8,1
Vallejo,United States,38.10083,-122.254954,1,0
Hartford,United States,41.763325,-72.674069,2,0
Frankfurt,West Germany (FRG),50.11797,8.644191,98,16
Zurich,Switzerland,47.36865,8.539182,27,48
Ithaca,United States,42.455233,-76.475847,4,0
Prairie du Sac,United States,43.287052,-89.724361,1,0
Tucson,United States,32.222232,-110.925752,4,1
Boulder,United States,40.007581,-105.265942,9,0
Hebron,Jordan,31.530243,35.094162,203,164
Manila,Philippines,14.596051,120.978666,508,507
Colorado Springs,United States,38.864281,-104.778412,5,3
Martinez,United States,38.019304,-122.134062,1,0
San Juan,United States,18.386932,-66.061127,143,37
Ashville,United States,33.83651,-86.254749,1,0
Bridgeport,United States,41.18188,-73.191269,2,0
Albuquerque,United States,35.084319,-106.619781,15,0
Bel Air,United States,39.53894,-76.348479,1,2
Cambridge,United States,38.563122,-76.078063,13,2
Sao Paulo,Brazil,-23.550711,-46.633475,59,52
Chicago,United States,41.842602,-87.681229,57,3
Appleton,United States,44.260288,-88.397455,2,0
Alexandria,Egypt,31.198056,29.919167,63,72
Long Beach,United States,33.766725,-118.192399,6,0
Billings,United States,45.783975,-108.505794,1,0
San Bernardino,United States,34.105245,-117.294124,2,16
Los Angeles,United States,34.097866,-118.407379,112,30
Lockland,United States,39.226835,-84.453309,1,0
Washington,United States,38.908642,-77.015381,86,18
Orlando,United States,28.538235,-81.377389,6,52
Angeles,Philippines,15.153002,120.591942,34,33
Ituzaingo,Argentina,-27.583246,-56.683334,1,0
Richmond,United States,37.93781,-122.342709,18,28
Buenos Aires,Argentina,-34.61768,-58.444435,468,458
Beirut,Lebanon,33.888523,35.503513,919,1916
